ID,Sentence,Label,Prep_sentence,Stemmed_sentence
212,"There was no difference in insulin dose with the FRC compared to monotherapy with insulin glargine in any of the studies, thus there was no insulin “saving” effect with the FRC when the insulin dose in the comparator group was capped at 60 U. ",1,difference insulin dose frc compared monotherapy insulin glargine studies thus insulin saving effect frc insulin dose comparator group capped u,differ insulin dose frc compar monotherapi insulin glargin studi thu insulin save effect frc insulin dose compar group cap u
213,The effect was consistent across studies and across investigated subgroups.,1,effect consistent across studies across investigated subgroups,effect consist across studi across investig subgroup
214,"In the studies, the FRC was always to be taken before breakfast, whereas the proposed SmPC states that Suliqua can be taken prior to any meal.",1,studies frc always taken breakfast whereas proposed smpc states suliqua taken prior meal,studi frc alway taken breakfast wherea propos smpc state suliqua taken prior meal
215,It is acknowledged that both insulin glargine and lixisenatide may be taken at any time of the day when used in mono-therapy.,1,acknowledged insulin glargine lixisenatide may taken time day used mono therapy,acknowledg insulin glargin lixisenatid may taken time day use mono therapi
216,"The recommendation has been further supported by data from the lixisenatide file, showing that no statistically significant differences are observed between pre-breakfast or pre-dinner dosing of lixisenatide.",1,recommendation supported data lixisenatide file showing statistically significant differences observed pre breakfast pre dinner dosing lixisenatide,recommend support data lixisenatid file show statist signific differ observ pre breakfast pre dinner dose lixisenatid
217,There is a lack of long-term data beyond 30 weeks with the FRC. ,2,lack long term data beyond weeks frc,lack long term data beyond week frc
218,"However, further analyses have shown that only a small proportion of patients (7% and 15%, study EFC12404 and EFC12405 respectively) had both reached the maximum dose and were in need of intensified treatment at week 30",0,however analyses shown small proportion patients study respectively reached maximum dose need intensified treatment week,howev analys shown small proport patient studi respect reach maximum dose need intensifi treatment week
219,"In addition, data from the lixisenatide file has been presented which shows maintenance of efficacy up to 76 weeks in combination with basal insulin.",0,addition data lixisenatide file presented shows maintenance efficacy weeks combination basal insulin,addit data lixisenatid file present show mainten efficaci week combin basal insulin
220,Thus it appears plausible that the effect can be maintained for a majority of patients at the doses,0,thus appears plausible effect maintained majority patients doses,thu appear plausibl effect maintain major patient dose
221,No new or unexpected adverse reactions were noted with the fixed combination of lixisenatide/insulin glargine (FRC) compared to the mono-components.,0,new unexpected adverse reactions noted fixed combination lixisenatide insulin glargine frc compared mono components,new unexpect advers reaction note fix combin lixisenatid insulin glargin frc compar mono compon
222,The adverse reaction patterns differed however in the aspect that the FRC group had a lower frequency of subjects with gastrointestinal adverse reactions compared to the lixisenatide group but a higher frequency of subjects with these reactions compared to use with insulin glargine.,1,adverse reaction patterns differed however aspect frc group lower frequency subjects gastrointestinal adverse reactions compared lixisenatide group higher frequency subjects reactions compared use insulin glargine,advers reaction pattern differ howev aspect frc group lower frequenc subject gastrointestin advers reaction compar lixisenatid group higher frequenc subject reaction compar use insulin glargin
223,The incidences of documented hypoglycaemic episode were comparable between the FRC and insulin glargine group.,0,incidences documented hypoglycaemic episode comparable frc insulin glargine group,incid document hypoglycaem episod compar frc insulin glargin group
224,"However, it should be noted that concomitant use of SU was not allowed in the present studies with FRC.",1,however noted concomitant use su allowed present studies frc,howev note concomit use su allow present studi frc
225,Immunological reactions such as allergic reactions and injections site reactions were few and equally distributed between the different treatment groups.,0,immunological reactions allergic reactions injections site reactions equally distributed different treatment groups,immunolog reaction allerg reaction inject site reaction equal distribut differ treatment group
226,A lower frequency of patients developed lixisenatide antibodies (ADA) in the FRC group (36%) compared to the lixisenatide group (48%).,0,lower frequency patients developed lixisenatide antibodies ada frc group compared lixisenatide group,lower frequenc patient develop lixisenatid antibodi ada frc group compar lixisenatid group
227,The RMP adequately reflects the safety concerns listed for the two monocomponents. The,0,rmp adequately reflects safety concerns listed two monocomponents,rmp adequ reflect safeti concern list two monocompon
228,"Overall, the fixed combination of lixisenatide/insulin glargine demonstrates a comparable safety profile as the two mono-components.",0,overall fixed combination lixisenatide insulin glargine demonstrates comparable safety profile two mono components,overal fix combin lixisenatid insulin glargin demonstr compar safeti profil two mono compon
229,There are no major objections based on the efficacy data.,0,major objections based efficacy data,major object base efficaci data
230,"The separate components of the D/C/F/TAF fixed dose combination are already approved, also for use with specific combination.",1,separate components c f taf fixed dose combination already approved also use specific combination,separ compon c f taf fix dose combin alreadi approv also use specif combin
231,Bioequivalence of the FDC to the separate components has been established.,0,bioequivalence fdc separate components established,bioequival fdc separ compon establish
232,"A non-inferior efficacy of D/C/F/TAF vs DRV+COBI+TVD has been shown in the phase 2 study, although a higher than expected discontinuation rate was observed in the D/C/F/TAF group.",1,non inferior efficacy c f taf vs drvcobitvd shown phase study although higher expected discontinuation rate observed c f taf group,non inferior efficaci c f taf vs drvcobitvd shown phase studi although higher expect discontinu rate observ c f taf group
233,Preliminary results from the ongoing phase 3 studies are reassuring in this respect.,0,preliminary results ongoing phase studies reassuring respect,preliminari result ongo phase studi reassur respect
234,The safety profile of the D/C/F/TAF FDC is largely based on the well-established safety profile of the individual components.,0,safety profile c f taf fdc largely based well established safety profile individual components,safeti profil c f taf fdc larg base well establish safeti profil individu compon
235,The safety profile of D/C/F/TAF FDC is supported by the results from the phase 2 study and as well by the preliminary results from the ongoing phase 3 studies.,0,safety profile c f taf fdc supported results phase study well preliminary results ongoing phase studies,safeti profil c f taf fdc support result phase studi well preliminari result ongo phase studi
236,The observed safety profile is in line with expectations and did not raise additional concerns.,0,observed safety profile line expectations raise additional concerns,observ safeti profil line expect rais addit concern
237,"Since Tadalafil Lilly application is an informed consent of Cialis application, the clinical data in support of the Tadalafil Lilly application are identical to the up-to-date clinical data of Cialis dossier, which have been assessed and authorised (including all post-marketing procedures).",0,since tadalafil lilly application informed consent cialis application clinical data support tadalafil lilly application identical date clinical data cialis dossier assessed authorised including post marketing procedures,sinc tadalafil lilli applic inform consent ciali applic clinic data support tadalafil lilli applic ident date clinic data ciali dossier assess authoris includ post market procedur
238,A summary of the literature with regard to clinical data of tadalafil and two bioequivalence studies were provided to demonstrate that the active substance does not differ significantly in properties with regards to safety and efficacy of the reference product and was accepted by the CHMP.,0,summary literature regard clinical data tadalafil two bioequivalence studies provided demonstrate active substance differ significantly properties regards safety efficacy reference product accepted chmp,summari literatur regard clinic data tadalafil two bioequival studi provid demonstr activ substanc differ significantli properti regard safeti efficaci refer product accept chmp
239,"Study TRIPLE 5, triple therapy with BDP/FF/GB (CHF 5993) had a statistically significant and clinically relevant superior effect on pre-dose and 2-h post-dose FEV1 at week 26 than BDP/FF (Foster).",0,study triple triple therapy bdp ff gb chf statistically significant clinically relevant superior effect pre dose h post dose week bdp ff foster,studi tripl tripl therapi bdp ff gb chf statist signific clinic relev superior effect pre dose h post dose week bdp ff foster
240,"TDI focal score, the third co-primary endpoint, had a clinically relevant improvement with both treatments, but the mean difference between treatments in TDI focal score at week 26 was not statistically significant.",1,tdi focal score third co primary endpoint clinically relevant improvement treatments mean difference treatments tdi focal score week statistically significant,tdi focal score third co primari endpoint clinic relev improv treatment mean differ treatment tdi focal score week statist signific
241,"Nevertheless, the responder analysis indicates a benefit for CHF 5993 compared with Foster on TDI symptoms for a greater proportion of patients.",0,nevertheless responder analysis indicates benefit chf compared foster tdi symptoms greater proportion patients,nevertheless respond analysi indic benefit chf compar foster tdi symptom greater proport patient
242,"Also, the observed 23% reduction in the exacerbation rate is above the minimum clinically important difference.",0,also observed reduction exacerbation rate minimum clinically important difference,also observ reduct exacerb rate minimum clinic import differ
243,"Study TRIPLE 6, CHF 5993 had a statistically significant superior effect on moderate and severe COPD exacerbation rate over 52 weeks than Tiotropium.",0,study triple chf statistically significant superior effect moderate severe copd exacerbation rate weeks tiotropium,studi tripl chf statist signific superior effect moder sever copd exacerb rate week tiotropium
244,The observed 20% reduction in the exacerbation rate is above the minimum clinically important difference.,0,observed reduction exacerbation rate minimum clinically important difference,observ reduct exacerb rate minimum clinic import differ
245,Superiority of CHF 5993 pMDI over Tiotropium and non-inferiority relative to Foster pMDI + Tiotropium in terms pre-dose morning FEV1 at Week 52 was also demonstrated.,0,superiority chf pmdi tiotropium non inferiority relative foster pmdi tiotropium terms pre dose morning week also demonstrated,superior chf pmdi tiotropium non inferior rel foster pmdi tiotropium term pre dose morn week also demonstr
246,"The superior clinical efficacy of CHF 5993 pMDI compared to Tiotropium was further supported by consistent findings on other relevant parameters, including SGRQ and use of rescue medication.",0,superior clinical efficacy chf pmdi compared tiotropium supported consistent findings relevant parameters including sgrq use rescue medication,superior clinic efficaci chf pmdi compar tiotropium support consist find relev paramet includ sgrq use rescu medic
247,"For these parameters, CHF 5993 pMDI and Foster pMDI + Tiotropium generally showed a similar effect.",1,parameters chf pmdi foster pmdi tiotropium generally showed similar effect,paramet chf pmdi foster pmdi tiotropium gener show similar effect
248,"Overall, CHF 5993 pMDI has shown benefits in reduction in exacerbation frequency and in improvement in lung function in two large Phase III studies.",0,overall chf pmdi shown benefits reduction exacerbation frequency improvement lung function two large phase iii studies,overal chf pmdi shown benefit reduct exacerb frequenc improv lung function two larg phase iii studi
249,From the safety data presented there are no particular safety signals that suggest an additive effect when FF and GB are administered together.,0,safety data presented particular safety signals suggest additive effect ff gb administered together,safeti data present particular safeti signal suggest addit effect ff gb administ togeth
250,"The main side effects that have been observed with CHF 5993 are associated with the known ICS, LAMA and LABA effects.",1,main side effects observed chf associated known ics lama laba effects,main side effect observ chf associ known ic lama laba effect
251,The clinical database is acceptable and considered sufficient.,0,clinical database acceptable considered sufficient,clinic databas accept consid suffici
252,The clinical safety sections of the SmPC contain appropriate information for each substance and reflect the safety information on the FDC.,0,clinical safety sections smpc contain appropriate information substance reflect safety information fdc,clinic safeti section smpc contain appropri inform substanc reflect safeti inform fdc
253,"In this informed consent application, there are no new issues related to the clinical data. ",0,informed consent application new issues related clinical data,inform consent applic new issu relat clinic data
254,All the clinical data have been assessed for Nuwiq application and adequately reflected in the Product Information.,0,clinical data assessed nuwiq application adequately reflected product information,clinic data assess nuwiq applic adequ reflect product inform
255,SOF/VEL/VOX for 12 weeks has shown excellent efficacy in patients that have previously failed a regimen containing an NS5A inhibitor.,0,sof vel vox weeks shown excellent efficacy patients previously failed regimen containing inhibitor,sof vel vox week shown excel efficaci patient previous fail regimen contain inhibitor
256,A similar 12 week course appears somewhat better than SOF/VEL in patients with previous failure on a DAA-containing regimen without an NS5A inhibitor.,0,similar week course appears somewhat better sof vel patients previous failure daa containing regimen without inhibitor,similar week cours appear somewhat better sof vel patient previou failur daa contain regimen without inhibitor
257,An 8 week course of SOF/VEL/VOX was similarly efficacious as 12 weeks of SOF/VEL in a difficult to cure DAA-naïve cirrhotic GT3 cohort.,0,week course sof vel vox similarly efficacious weeks sof vel difficult cure daa naïve cirrhotic cohort,week cours sof vel vox similarli efficaci week sof vel difficult cure daa naïv cirrhot cohort
258,"Further, an 8 week course of SOF/VEL/VOX showed an SVR rate of 95% in a DAA-naïve population; however, this did not meet predefined non-inferiority with SOF/VEL for 12 weeks.",2,week course sof vel vox showed svr rate daa naïve population however meet predefined non inferiority sof vel weeks,week cours sof vel vox show svr rate daa naïv popul howev meet predefin non inferior sof vel week
259,The addition of VOX appears to increase the barrier to resistance compared to SOF/VEL alone.,1,addition vox appears increase barrier resistance compared sof vel alone,addit vox appear increas barrier resist compar sof vel alon
260,Conclusions concerning recommended use are discussed in the B/R section.,1,conclusions concerning recommended use discussed b r section,conclus concern recommend use discuss b r section
261,"SOF/VEL/VOX has been studied in a sufficient number of patients, including substantial numbers of patients with compensated cirrhosis.",0,sof vel vox studied sufficient number patients including substantial numbers patients compensated cirrhosis,sof vel vox studi suffici number patient includ substanti number patient compens cirrhosi
262,"Compared to SOF/VEL and placebo, there were similar rates of AEs overall, with the only notable difference being increased rates of mild (Grade 1) nausea and diarrhoea.",0,compared sof vel placebo similar rates aes overall notable difference increased rates mild grade nausea diarrhoea,compar sof vel placebo similar rate ae overal notabl differ increas rate mild grade nausea diarrhoea
263,"Other potentially related AE’s including decreased appetite, vomiting, muscle spasms and rash.",1,potentially related aes including decreased appetite vomiting muscle spasms rash,potenti relat ae includ decreas appetit vomit muscl spasm rash
264,"No treatment-related SAE was reported and only one subject (0.1%) in the Phase 3 trials discontinued SOF/VEL/VOX due to reported advents, assessed unrelated to study drug.",0,treatment related sae reported one subject phase trials discontinued sof vel vox due reported advents assessed unrelated study drug,treatment relat sae report one subject phase trial discontinu sof vel vox due report advent assess unrel studi drug
265,"There was no general indication of VOX-associated transaminitis, as has been seen with other NS3/4A inhibitors; however, two cases associated with concomitant ethinyl estradiol among a total of 29 objects exposed, which makes co-administration quite questionable.",2,general indication vox associated transaminitis seen inhibitors however two cases associated concomitant ethinyl estradiol among total objects exposed makes co administration quite questionable,gener indic vox associ transamin seen inhibitor howev two case associ concomit ethinyl estradiol among total object expos make co administr quit question
266,The safety profile of SOF/VEL/VOX for 8 or 12 weeks in patients with compensated liver disease due to HCV infection appears favourable.,0,safety profile sof vel vox weeks patients compensated liver disease due hcv infection appears favourable,safeti profil sof vel vox week patient compens liver diseas due hcv infect appear favour
